Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Hawthorn,Geelong,2010,VIC,Away,M.C.G.,Melbourne,July,2010-07-10 14:10,83,85,0,L
West Coast,Adelaide,2010,WA,Home,Subiaco,Perth,July,2010-07-10 13:10,95,117,0,L
Adelaide,West Coast,2010,SA,Away,Subiaco,Perth,July,2010-07-10 13:10,117,95,1,W
Richmond,Fremantle,2010,VIC,Home,Docklands,Melbourne,July,2010-07-10 19:10,100,81,1,W
Fremantle,Richmond,2010,WA,Away,Docklands,Melbourne,July,2010-07-10 19:10,81,100,0,L
Brisbane Lions,St Kilda,2010,QLD,Home,Gabba,Brisbane,July,2010-07-10 19:10,65,79,0,L
St Kilda,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,July,2010-07-10 19:10,79,65,1,W
Sydney,North Melbourne,2010,NSW,Home,S.C.G.,Sydney,July,2010-07-11 13:10,85,55,1,W
North Melbourne,Sydney,2010,VIC,Away,S.C.G.,Sydney,July,2010-07-11 13:10,55,85,0,L
Melbourne,Essendon,2010,VIC,Home,M.C.G.,Melbourne,July,2010-07-11 14:10,122,103,1,W
Essendon,Melbourne,2010,VIC,Away,M.C.G.,Melbourne,July,2010-07-11 14:10,103,122,0,L
Carlton,Western Bulldogs,2010,VIC,Home,Docklands,Melbourne,July,2010-07-11 16:40,58,126,0,L
Western Bulldogs,Carlton,2010,VIC,Away,Docklands,Melbourne,July,2010-07-11 16:40,126,58,1,W
Adelaide,Geelong,2010,SA,Home,Football Park,Adelaide,July,2010-07-16 20:10,74,63,1,W
Geelong,Adelaide,2010,VIC,Away,Football Park,Adelaide,July,2010-07-16 20:10,63,74,0,L
Collingwood,St Kilda,2010,VIC,Home,M.C.G.,Melbourne,July,2010-07-17 14:10,100,52,1,W
St Kilda,Collingwood,2010,VIC,Away,M.C.G.,Melbourne,July,2010-07-17 14:10,52,100,0,L
Hawthorn,Brisbane Lions,2010,VIC,Home,York Park,Launceston,July,2010-07-17 14:10,118,43,1,W
Brisbane Lions,Hawthorn,2010,QLD,Away,York Park,Launceston,July,2010-07-17 14:10,43,118,0,L
Essendon,West Coast,2010,VIC,Home,Docklands,Melbourne,July,2010-07-17 19:10,100,132,0,L
West Coast,Essendon,2010,WA,Away,Docklands,Melbourne,July,2010-07-17 19:10,132,100,1,W
Western Bulldogs,Port Adelaide,2010,VIC,Home,Marrara Oval,Darwin,July,2010-07-17 19:10,83,47,1,W
